country_name,election_date,party_name_short,vote_share,Populist,Far right,Far left,Eurosceptic
Austria,1999-10-03,SPO,33.20,False,False,False,False
Austria,1999-10-03,FPO,26.90,True,True,False,True
Austria,1999-10-03,OVP,26.90,False,False,False,False
Austria,1999-10-03,Gruene,7.40,False,False,False,False
Austria,1999-10-03,LIF,3.70,False,False,False,False
Austria,1999-10-03,DU,1.00,False,False,False,False
Austria,2002-11-24,OVP,42.30,False,False,False,False
Austria,2002-11-24,SPO,36.51,False,False,False,False
Austria,2002-11-24,FPO,10.01,True,True,False,True
Austria,2002-11-24,Gruene,9.47,False,False,False,False
Austria,2002-11-24,LIF,0.98,False,False,False,False
Austria,2006-10-01,SPO,35.30,False,False,False,False
Austria,2006-10-01,OVP,34.30,False,False,False,False
Austria,2006-10-01,Gruene,11.10,False,False,False,False
Austria,2006-10-01,FPO,11.00,True,True,False,True
Austria,2006-10-01,BZO,4.10,True,True,False,True
Austria,2006-10-01,Martin,2.80,True,False,False,True
Austria,2006-10-01,KPO,1.00,False,False,False,False
Austria,2008-09-28,SPO,29.26,False,False,False,False
Austria,2008-09-28,OVP,25.98,False,False,False,False
Austria,2008-09-28,FPO,17.54,True,True,False,True
Austria,2008-09-28,BZO,10.70,True,True,False,True
Austria,2008-09-28,Gruene,10.43,False,False,False,False
Austria,2008-09-28,LIF,2.09,False,False,False,False
Austria,2008-09-28,Fritz,1.76,False,False,False,False
Austria,2013-09-29,SPO,26.80,False,False,False,False
Austria,2013-09-29,OVP,24.00,False,False,False,False
Austria,2013-09-29,FPO,20.50,True,True,False,True
Austria,2013-09-29,Gruene,12.40,False,False,False,False
Austria,2013-09-29,TS,5.70,True,False,False,True
Austria,2013-09-29,NEOS,5.00,False,False,False,False
Austria,2013-09-29,BZO,3.50,True,True,False,True
Austria,2013-09-29,KPO,1.00,False,False,False,False
Austria,2017-10-15,OVP,31.50,False,False,False,False
Austria,2017-10-15,SPO,26.90,False,False,False,False
Austria,2017-10-15,FPO,26.00,True,True,False,True
Austria,2017-10-15,NEOS,5.30,False,False,False,False
Austria,2017-10-15,PILZ,4.40,False,False,False,False
Austria,2017-10-15,Gruene,3.80,False,False,False,False
Austria,2017-10-15,GILT,1.00,False,False,False,False
Belgium,1999-06-13,PVV|VLD,14.30,False,False,False,False
Belgium,1999-06-13,CVP,14.09,False,False,False,False
Belgium,1999-06-13,PS,10.16,False,False,False,False
Belgium,1999-06-13,PRL,10.14,False,False,False,False
Belgium,1999-06-13,VB,9.87,True,True,False,True
Belgium,1999-06-13,SP,9.55,False,False,False,False
Belgium,1999-06-13,Ecolo,7.30,False,False,False,False
Belgium,1999-06-13,AGL-Gr,6.99,False,False,False,False
Belgium,1999-06-13,PSC-CDH,5.88,False,False,False,False
Belgium,1999-06-13,VU,5.56,False,False,False,False
Belgium,1999-06-13,V,2.10,False,False,False,False
Belgium,1999-06-13,FN,1.45,True,True,False,True
Belgium,2003-05-18,PVV|VLD,15.36,False,False,False,False
Belgium,2003-05-18,SPa+Spi,14.91,False,False,False,False
Belgium,2003-05-18,CVP,13.25,False,False,False,False
Belgium,2003-05-18,PS,13.02,False,False,False,False
Belgium,2003-05-18,VB,11.59,True,True,False,True
Belgium,2003-05-18,MR,11.40,False,False,False,False
Belgium,2003-05-18,PSC-CDH,5.47,False,False,False,False
Belgium,2003-05-18,Ecolo,3.06,False,False,False,False
Belgium,2003-05-18,N-VA,3.06,False,False,False,False
Belgium,2003-05-18,AGL-Gr,2.47,False,False,False,False
Belgium,2003-05-18,FN,1.98,True,True,False,True
Belgium,2007-06-10,CD+NVA,18.50,False,False,False,False
Belgium,2007-06-10,MR,12.50,False,False,False,False
Belgium,2007-06-10,VB,12.00,True,True,False,True
Belgium,2007-06-10,PVV|VLD,11.83,False,False,False,False
Belgium,2007-06-10,PS,10.86,False,False,False,False
Belgium,2007-06-10,SPa+Spi,10.26,False,False,False,False
Belgium,2007-06-10,PSC-CDH,6.10,False,False,False,False
Belgium,2007-06-10,Ecolo,5.10,False,False,False,False
Belgium,2007-06-10,LD|LDD,4.03,True,False,False,False
Belgium,2007-06-10,AGL-Gr,3.98,False,False,False,False
Belgium,2007-06-10,FN,2.00,True,True,False,True
Belgium,2007-06-10,PA-PTB,0.84,False,False,True,True
Belgium,2010-06-13,N-VA,17.40,False,False,False,False
Belgium,2010-06-13,PS,13.70,False,False,False,False
Belgium,2010-06-13,CVP,10.85,False,False,False,False
Belgium,2010-06-13,MR,9.28,False,False,False,False
Belgium,2010-06-13,SP,9.24,False,False,False,False
Belgium,2010-06-13,PVV|VLD,8.64,False,False,False,False
Belgium,2010-06-13,VB,7.76,True,True,False,True
Belgium,2010-06-13,PSC-CDH,5.52,False,False,False,False
Belgium,2010-06-13,Ecolo,4.80,False,False,False,False
Belgium,2010-06-13,AGL-Gr,4.38,False,False,False,False
Belgium,2010-06-13,LD|LDD,2.31,True,False,False,False
Belgium,2010-06-13,PA-PTB,1.55,False,False,True,True
Belgium,2010-06-13,Pp,1.29,False,False,False,False
Belgium,2014-05-25,N-VA,20.26,False,False,False,False
Belgium,2014-05-25,PS,11.67,False,False,False,False
Belgium,2014-05-25,CVP,11.61,False,False,False,False
Belgium,2014-05-25,PVV|VLD,9.78,False,False,False,False
Belgium,2014-05-25,MR,9.64,False,False,False,False
Belgium,2014-05-25,SP,8.83,False,False,False,False
Belgium,2014-05-25,AGL-Gr,5.32,False,False,False,False
Belgium,2014-05-25,PSC-CDH,4.98,False,False,False,False
Belgium,2014-05-25,PA-PTB,3.72,False,False,True,True
Belgium,2014-05-25,VB,3.67,True,True,False,True
Belgium,2014-05-25,Ecolo,3.30,False,False,False,False
Belgium,2014-05-25,FDF,1.80,False,False,False,False
Belgium,2014-05-25,Pp,1.52,False,False,False,False
Belgium,2014-05-25,DLB,0.86,False,False,False,False
Bulgaria,2001-06-18,NDSV,42.74,True,False,False,False
Bulgaria,2001-06-18,ODS,18.18,False,False,False,False
Bulgaria,2001-06-18,KzB|DL,17.15,False,False,False,False
Bulgaria,2001-06-18,DPS,7.45,False,False,False,False
Bulgaria,2001-06-18,DG,3.63,False,False,False,False
Bulgaria,2001-06-18,KSII,3.44,False,False,False,False
Bulgaria,2001-06-18,OT-SII,1.70,False,False,False,False
Bulgaria,2005-06-25,KzB|DL,30.95,False,False,False,False
Bulgaria,2005-06-25,NDSV,19.88,True,False,False,False
Bulgaria,2005-06-25,DPS,12.81,False,False,False,False
Bulgaria,2005-06-25,Ataka,8.14,True,True,False,True
Bulgaria,2005-06-25,ODS,7.68,False,False,False,False
Bulgaria,2005-06-25,DSB,6.44,False,False,False,False
Bulgaria,2005-06-25,BNS,5.19,False,False,False,False
Bulgaria,2005-06-25,NV,2.95,False,False,False,False
Bulgaria,2005-06-25,KR,1.30,False,False,False,False
Bulgaria,2005-06-25,ER,1.25,False,False,False,False
